"scientific_name","qc_status"
"Draba corymbosa","Susceptible"
"Descurainia pinnata","Susceptible"
"Psilopilum cavifolium","Susceptible"
"Sabulina rossii","Susceptible"
"Asterella tenella","Susceptible"
"Margaritifera margaritifera","Susceptible"
"Hygrobiella laxifolia","Susceptible"
"Harpanthus drummondii","Susceptible"
"Gymnocolea inflata","Susceptible"
"Frullania brittoniae","Susceptible"
"Fuscocephaloziopsis macrostachya","Susceptible"
"Jungermannia polaris","Susceptible"
"Clevea hyalina","Susceptible"
"Mesoptychia bantriensis","Susceptible"
"Mannia gracilis","Susceptible"
"Anthoceros agrestis","Susceptible"
"Acroloxus coloradensis","Susceptible"
"Birgella subglobosus","Susceptible"
"Potamilus alatus","Susceptible"
"Scapania ligulifolia","Susceptible"
"Fuscocephaloziopsis catenulata","Susceptible"
"Marsupella condensata","Susceptible"
"Racomitrium canescens","Susceptible"
"Scapania glaucocephala","Susceptible"
"Scapania carinthiaca","Susceptible"
"Apopellia endiviifolia","Susceptible"
"Nardia scalaris","Susceptible"
"Nardia insecta","Susceptible"
"Jungermannia atrovirens","Susceptible"
"Gymnomitrion revolutum","Susceptible"
"Leptodea fragilis","Susceptible"
"Mannia pilosa","Susceptible"
"Mannia fragrans","Susceptible"
"Lophozia silvicola","Susceptible"
"Lophozia ventricosa","Susceptible"
"Tritomaria laxa","Susceptible"
"Schistochilopsis grandiretis","Susceptible"
"Marsupella sparsifolia","Susceptible"
"Pompeius verna","Susceptible"
"Obovaria olivaria","Susceptible"
"Ophiogomphus anomalus","Susceptible"
"Gomphus ventricosus","Susceptible"
"Oeneis bore","Susceptible"
"Lepomis peltastes","Susceptible"
"Euptoieta claudia","Susceptible"
"Nasiaeschna pentacantha","Susceptible"
"Euphyes dion","Susceptible"
"Somatochlora incurvata","Susceptible"
"Erynnis martialis","Susceptible"
"Cicindela lepida","Susceptible"
"Cicindela patruela","Susceptible"
"Opheodrys vernalis","Susceptible"
"Storeria dekayi","Susceptible"
"Nerodia sipedon","Susceptible"
"Lycaena dospassosi","Susceptible"
"Sauteria alpina","Susceptible"
"Eurynia dilatata","Susceptible"
"Utterbackiana implicata","Susceptible"
"Alasmidonta marginata","Susceptible"
"Physcomitrella patens","Susceptible"
"Fissidens obtusifolius","Susceptible"
"Fissidens fontanus","Susceptible"
"Gomphaeschna furcillata","Susceptible"
"Bryum warneum","Susceptible"
"Scapania scandica","Susceptible"
"Riccia frostii","Susceptible"
"Riccia bifurca","Susceptible"
"Lestes vigilax","Susceptible"
"Sympetrum corruptum","Susceptible"
"Erythemis simplicicollis","Susceptible"
"Williamsonia fletcheri","Susceptible"
"Fissidens exilis","Susceptible"
"Grimmia mollis","Susceptible"
"Pseudocalliergon brevifolium","Susceptible"
"Anarhichas lupus","Susceptible"
"Anarhichas denticulatus","Susceptible"
"Grimmia trichophylla","Susceptible"
"Grimmia teretinervis","Susceptible"
"Grimmia sessitana","Susceptible"
"Grimmia atrata","Susceptible"
"Grimmia olneyi","Susceptible"
"Hygrohypnum subeugyrium","Susceptible"
"Clemmys guttata","Susceptible"
"Grimmia incurva","Susceptible"
"Ephemerum serratum","Susceptible"
"Encalypta longicollis","Susceptible"
"Encalypta brevipes","Susceptible"
"Scapania irrigua","Susceptible"
"Grimmia pilifera","Susceptible"
"Orthotrichum pallens","Susceptible"
"Pterygoneurum ovatum","Susceptible"
"Lampropeltis triangulum","Susceptible"
"Pseudoleskea patens","Susceptible"
"Phoca vitulina","Susceptible"
"Polytrichastrum ohioense","Susceptible"
"Plagiothecium piliferum","Susceptible"
"Ranunculus rhomboideus","Susceptible"
"Phascum cuspidatum","Susceptible"
"Ditrichum pallidum","Susceptible"
"Orthothecium chryseon","Susceptible"
"Oligotrichum falcatum","Susceptible"
"Leskea obscura","Susceptible"
"Kiaeria falcata","Susceptible"
"Hypnum callichroum","Susceptible"
"Hygrohypnum montanum","Susceptible"
"Puma concolor","Susceptible"
"Andreaea crassinervia","Susceptible"
"Encalypta affinis","Susceptible"
"Brachythecium latifolium","Susceptible"
"Aulacomnium androgynum","Susceptible"
"Weissia phascopsis","Susceptible"
"Weissia muhlenbergiana","Susceptible"
"Arctoa anderssonii","Susceptible"
"Bruchia flexuosa","Susceptible"
"Andreaea nivalis","Susceptible"
"Bryum knowltonii","Susceptible"
"Aloina brevirostris","Susceptible"
"Etheostoma caeruleum","Susceptible"
"Acaulon muticum","Susceptible"
"Tritomaria quinquedentata","Susceptible"
"Diadophis punctatus","Susceptible"
"Saccobasis polita","Susceptible"
"Aongstroemia longipes","Susceptible"
"Ctenidium subrectifolium","Susceptible"
"Discelium nudum","Susceptible"
"Didymodon maschalogena","Susceptible"
"Dicranodontium denudatum","Susceptible"
"Dicranella palustris","Susceptible"
"Dichelyma uncinatum","Susceptible"
"Tortula leucostoma","Susceptible"
"Brachythecium glaciale","Susceptible"
"Cynodontium schisti","Susceptible"
"Grimmia elongata","Susceptible"
"Climacium americanum","Susceptible"
"Cinclidium latifolium","Susceptible"
"Ceratodon heterophyllus","Susceptible"
"Campylopus schimperi","Susceptible"
"Drepanocladus arcticus","Susceptible"
"Bryum longisetum","Susceptible"
"Cynodontium glaucescens","Susceptible"
"Cochlearia tridactylites","Susceptible"
"Sabulina litorea","Susceptible"
"Xyloryctes jamaicensis","Susceptible"
"Acronicta rubricoma","Susceptible"
"Elliptio crassidens","Susceptible"
"Botrychium pedunculosum","Susceptible"
